ALCOA ARCHITECTURAL PRODUCTS;01/01/2016;-;-;25031;BESANCON Cedex;;-;-;-;-;-;-;-;-;Entreprise;-;-;-;-
ALSACIENNE DE BOIS ET PANNEAUX;13/01/2016;-;-;;;;-;-;-;-;-;-;-;-;Entreprise;-;-;TR;-
ALSTOM POWER SYSTEMS SA THERMAL MANUFACTURING;13/01/2016;-;-;90000;BELFORT;;-;-;-;-;-;-;-;-;Entreprise;-;-;TR;-
ALSTOM TRANSPORT;13/01/2016;-;03 84 54 25 12;75000;PARIS;;-;-;-;-;-;-;-;-;Entreprise;-;-;TR;-
BELFORT MAG ;13/01/2016;-;-;90000;BELFORT;;-;-;-;-;-;-;-;-;Presse ;-;-;TR;-
BRODESIGN;-;-;-;;;;-;-;-;-;-;-;-;-;Entreprise;-;-;-;-
CEB - EMERSON;13/01/2016;-;-;16340;L'Isle d'Espagnac;;-;-;-;-;-;-;-;-;Entreprise;-;-;TR;-
DEFONTAINE;20/01/2016;-;-;31100;TOULOUSE;;-;-;-;-;-;-;-;-;Entreprise;-;-;LV;-
GROUPE ATLANTIC;-;-;+49 6021 4206 604;25000;BESANCON;;-;-;-;-;-;-;-;-;Entreprise;-;-;-;-
HOCHSCHULE ASCHAFFENBURG;27/06/2016;-;-;25206;MONTBELIARD Cedex;;-;-;-;-;-;-;-;-;Enseignement;-;-;-;-
HUSKY INJECTION MOLDING SYSTEM ;20/01/2016;-;-;90008;BELFORT Cedex;;-;-;-;-;-;-;-;-;Entreprise;-;-;LV;-
MEDTRONIC FRANCE SAS;22/01/2016;-;-;50950;SAINT LO CEDEX;;-;-;-;-;-;-;-;-;Entreprise;-;-;LV;-
PAG ELECTRONICS;-;-;-;25503;MORTEAU cedex;;-;-;-;-;-;-;-;-;Entreprise;-;-;-;-
PEUGEOT MOTOCYCLE;26/01/2016;-;+49 681 99 630;70001;VESOUL Cedex;;-;-;-;-;-;-;-;-;Entreprise;-;-;CB;-
Strategy & action;27/06/2016;-;03 81 99 41 43;13015;MARSEILLE;;-;-;-;-;-;-;-;-;Entreprise;-;-;-;-
MABÉO INDUSTRIES;01/01/2016;-;-;64000;PAU;;-;-;-;-;-;-;-;-;Entreprise;-;-;-;-
