0;IUT;;Non;04 92 30 23 70;iutdigne@up.univ-mrs.fr;Centre Saint Vincent  Rue Pasteur;4000;DIGNE LES BAINS ;Non;DUT BIO
1;Lycée Pierre-Gilles de Gennes;10/05/2016;Non;04 92 36 71 90;ce.0040490L@ac-aix-marseille.fr;Espace Saint Christophe;4000;Digne-les-Bains   ;S -STI2D - STL;FED - METIER EAU
2;Lycée du Sacré-Coeur;10/05/2016;Non;04 92 30 58 60;ce.0040034r@ac-aix-marseille.fr;2 avenue des Thermes BP 221;4000;Digne-les-Bains   ;S;Non
3;Lycée Alexandra David-Néel;30/03/2016;Non;04 92 30 35 80;ce.0040027H@ac-aix-marseille.fr;17 avenue Maréchal Leclerc BP 221;4004;Digne-les-Bains   ;S;Non
4;Lycée Les Iscles;10/05/2016;Non;04 92 73 41 10;ce.0040533h@ac-aix-marseille.fr;116 boulevard Régis Ryckebusch BP 221;4100;Manosque   ;S-STI2D;CRSA-MS
5;Ecole internationale Provence-Alpes-Côte d'Azur;10/05/2016;Non;04 92 74 23 11;ce.0040543U@ac-aix-marseille.fr;159 avenue du docteur Bernard Foussier BP 205;4102;Manosque CEDEX  ;S;Non
6;Lycée Félix Esclangon;10/05/2016;Non;04 92 70 54 70;ce.0040010P@ac-aix-marseille.fr;boulevard Martin Bret BP 336;4103;Manosque Cedex  ;S;Non
7;Lycée Paul Arène;10/05/2016;Non;04 92 61 02 99;ce.0040023D@ac-aix-marseille.fr;13 avenue du stade BP 98;4203;Sisteron Cedex  ;S;Non
8;Lycée André Honnorat;30/03/2016;Non;04 92 80 70 10;ce.0040003G@ac-aix-marseille.fr;1 rue André Honnorat;4400;Barcelonnette   ;S;Non
9;Lycée Aristide Briand;12/05/2016;Non;04 92 52 28 05;ce.0050007f@ac-aix-marseille.fr;20 avenue Commandant Dumont BP 155;5007;Gap Cedex  ;S-STL;Non
10;Lycée Dominique Villars;12/05/2016;Non;04 92 52 26 91;ce.0050006E@ac-aix-marseille.fr;Place de Verdun BP 1004;5010;Gap Cedex  ;S;Non
11;Lycée Saint-Joseph;12/05/2016;Non;04 92 53 84 44;ce.0050035l@ac-aix-marseille.fr;2 rue des Pins;5010;Gap Cedex  ;S;Non
12;Lycée d'altitude;12/05/2016;Non;04 92 21 30 84;e.0050003B@ac-aix-marseille.fr;2 rue Marius Chancel;5105;Briançon Cedex  ;S-STI2D;MS
13;Lycée Victor Hugo;10/05/2016;Non;04 91 11 05 00;ce.0130043B@ac-aix-marseille.fr;3 boulevard Gustave Desplaces;13003;Marseille   ;S-STL;Non
14;Lycée Chevreul - Blancarde;10/05/2016;Non;04 91 49 10 73;secretariat@chevreulblancarde.com;1 rue Saint François de Sales;13004;Marseille   ;S;Non
15;Lycée Ami;10/05/2016;Non;04 96 10 08 50;;47 rue Saint-Suffren;13006;Marseille   ;S;Non
16;Lycée Cours Bastide;11/05/2016;Non;04 91 48 67 96;ce.0131344r@ac-aix-marseille.fr;50 rue de Lodi;13006;Marseille   ;S;Non
17;Lycée Notre-Dame de Sion;11/05/2016;Non;04 91 15 74 50;secretariatnds@wanadoo.fr;231 rue Paradis;13006;Marseille   ;s;CPGE MP
18;Lycée Saint-Joseph les Maristes;11/05/2016;Non;04 96 10 13 30;ce.0131331b@ac-aix-marseille.fr;24 rue Sainte Victoire;13006;Marseille   ;S;Non
19;Lycée Saint-Vincent de Paul;11/05/2016;Non;04 91 37 48 86;marseille.posvp@wanadoo.fr;30 rue Stanislas Torrents;13006;Marseille   ;STL;TC-TPIL
20;Lycée technique Don Bosco;11/05/2016;Non;04 91 14 00 00;donbosco.marseille@wanadoo.fr;78 rue Stanislas Torrents;13006;Marseille   ;S-STI2D;ELECT-MS
21;Lycée du Rempart;11/05/2016;Non;04 91 14 32 80;ce.0130049H@ac-aix-marseille.fr;1 rue du Rempart;13007;Marseille   ;S-STI2D;ATI-CPRP-CRSA-ELECT-SN-TC CPGE ATS
22;Lycée Honoré Daumier;11/05/2016;Non;04 91 76 01 20;ce.0130175V@ac-aix-marseille.fr;46 avenue Clot Bey;13008;Marseille   ;S;
23;IUT;;Non;04 91 17 79 20;;163 Avenue Luminy ;13009; MARSEILLE  ;Non;DUT GTR
24;Lycée Pastré - Grande Bastide;11/05/2016;Non;04 96 19 06 06;pastre.grde.bastide@wanadoo.fr;20 avenue de la Grande Bastide;13009;Marseille   ;S;Non
25;Lycée Sainte-Trinité;11/05/2016;Non;04 91 41 11 98;contact@sainte-trinite.fr;55 avenue de Lattre de Tassigny;13009;Marseille   ;Oui;Non
26;ORT - Lycée ORT Léon Bramson;11/05/2016;Non;04 91 29 61 33;marseille@ort.asso.fr;9 rue des Forges;13010;Marseille   ;Oui;Non
27;LTCB - Lycée de chimie-biologie La Forbine;21-oct.-16;Oui;04 91 44 60 48;lycee@laforbine.com;4 boulevard de la Forbine;13011;Marseille   ;Oui;Oui
28;Lycée Paul Melizan;11/05/2016;Non;04 91 18 80 70;ce.0131328y@ac-aix-marseille.fr;55 route des Camoins;13011;Marseille   ;Oui;
29;Lycée Antonin Artaud;11/05/2016;Non;04 91 12 22 50;ce.0132733A@ac-aix-marseille.fr;25 chemin Notre-Dame de la Consolation;13013;Marseille   ;Oui;Oui
30;Lycée Lacordaire;11/05/2016;Non;04 91 12 20 80;accueil@lacordaire.com;7 boulevard Lacordaire;13013;Marseille   ;Oui;Non
31;Lycée Sévigné;11/05/2016;Non;04 91 66 22 75;ce.0131348v@ac-aix-marseille.fr;1 avenue de Saint Jérôme;13013;Marseille   ;Oui;Non
